ID,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception
nOR03,3.34,1.06,0.3,0.76,0,17.6,1.37,2.58,3.19,3.03,2.43,0.46,9.56,3.34,1.37
UPS11,4.38,2.07,0,0.92,0.46,21.89,0.23,3.69,1.15,2.53,2.76,0.92,8.29,3.69,1.61
PES07,3.14,1.88,0,0.63,0.84,17.36,2.93,3.35,2.3,1.67,2.3,0.42,8.79,3.56,0.84
BRE02,3.42,0.57,0.38,0,0,19.54,2.85,3.42,2.85,1.9,2.47,0.76,8.35,4.36,1.71
nOR10,3.1,2.38,0.71,0.95,0.48,17.14,2.38,1.9,0.95,2.62,1.9,1.19,9.05,1.43,3.1
HES07,3.99,1.39,0.17,0.52,0.35,19.76,2.95,3.12,1.04,1.21,3.12,0.52,11.27,1.73,3.29
LDV09,2.04,1.23,0.2,0.41,0.2,17.79,2.04,3.68,2.04,2.04,1.23,1.23,9.2,2.25,2.66
OCM09,4.96,1.79,0.4,0.4,0.79,18.25,0.99,2.78,2.38,1.98,1.19,1.19,11.31,4.76,1.39
LRE05,1.15,0.96,0.19,0.19,0,19.42,2.5,3.85,2.69,2.5,1.15,0.96,11.92,3.27,0.19
BFC03,4.45,0.89,0,0,0.3,21.66,4.75,1.78,2.08,0.89,2.97,0.59,9.2,5.04,0.89
LRE04,3.54,0.93,0.19,0.19,0.37,18.99,1.86,1.68,2.61,1.86,1.68,0.19,10.8,3.54,1.49
BRE10,4.19,0.5,0.17,0.17,0,22.61,2.35,2.01,1.34,2.35,3.18,1.17,13.74,2.68,1.84
HES03,4.2,1.31,0,0,0.26,22.31,1.05,3.15,2.1,2.36,2.36,0.26,9.97,3.94,2.89
CVL01,4.83,2.17,0.72,0,0.48,21.98,4.59,2.66,3.62,1.45,1.21,0,12.8,4.11,2.9
LDV02,3.66,1.22,0.46,0,0.31,17.86,2.29,2.14,2.44,1.68,2.29,0.92,9.31,2.9,1.53
UPS15,2.38,2.78,0.2,0.99,0.79,20.04,2.18,3.37,2.38,2.38,2.38,0.6,10.71,2.98,2.98
LYO14,2.84,0.76,0,0.19,0.19,20.08,2.84,5.68,1.14,1.89,0.57,0.95,10.8,2.08,2.27
LOR08,2.29,1.72,0,0,0.95,18.89,3.05,3.82,2.67,2.1,1.72,0.38,7.44,3.24,1.72
LYO09,3.25,2.05,0,0.86,0.68,20.89,2.23,2.91,3.08,2.74,2.74,1.37,12.84,4.11,1.88
SOU02,1.68,0.93,0.19,0,0.93,10.99,1.86,0.56,1.3,0.93,1.12,0.19,7.45,1.49,3.72
GRE01,4.85,1.21,0.2,0.61,0.61,19.19,4.04,3.23,1.62,1.82,2.83,0.81,10.71,2.42,1.82
OCM04,3.4,0.94,0,0.57,0.19,20,3.02,2.83,2.83,2.64,1.13,0.19,8.3,5.09,2.08
